X,Y,Universe
173,55,0
190,55,0
252,55,0
323,55,0
367,55,0
386,55,0
431,55,0
431,35,0
498,55,0
498,35,0
580,55,0
659,55,0
678,55,0
754,55,0
805,55,0
805,35,0
874, 55,0
891,55,0
945,55,0
963,55,0
1015,55,0
81,100,1
97,100,1
136,100,1
155,100,1
196,100,1
251,100,1
251,80,1
322,100,1
340,100,1
398,100,1
417,100,1
480,100,1
480,80,1
519,100,1
538,100,1
563,100,1
625,100,1
644,100,1
711,100,1
711,80,1
760,100,1
780,100,1
818,100,1
863,100,1
917,100,1
917,80,1
103,150,2
162,150,2
162,131,2
200,150,2
217,150,2
252,150,2
271,150,2
353,150,2
372,150,2
436,150,2
480,150,2
547,150,2
565,150,2
641,150,2
668,150,2
685,150,2
745,150,2
800,150,2
800,131,2
875,150,2
112,195,3
167,195,3
185,195,3
252,195,3
270,195,3
336,195,3
390,195,3
407,195,3
493,195,3
493,177,3
520,195,3
644,195,3
663,195,3
707,195,3
763,195,3
780,195,3
823,195,3
82,245,4
98,245,4
145,245,4
197,245,4
215,245,4
243,245,4
362,245,4
381,245,4
466,245,4
485,245,4
556,245,4
676,245,4
695,245,4
741,245,4
120,290,5
120,270,5
172,290,5
191,290,5
260,290,5
260,270,5
327,290,5
346,290,5
403,290,5
403,270,5
447,290,5
507,290,5
507,270,5
632,290,5
632,270,5
695,290,5
715,290,5
79,340,6
97,340,6
343,340,6
363,340,6
404,340,6
390,395,6
371,395,6
324,395,6
324,375,6
322,445,6
340,445,6
406,445,6
406,428,6
516,445,6
537,395,6
490,395,6
473,395,6
519,340,6
538,340,6
583,340,6
583,322,6
1084,200,7
1070,245,7
1052,245,7
984,290,7
1000,290,7
1063,290,7
1107,340,8
1054,340,8
1037,340,8
952,340,8
934,385,8
982,385,8
982,365,8
1022,385,8
1106,385,8
1125,385,8
75,385,8
1103,435,9
1103,415,9
1041,435,9
1022,435,9
973,435,9
973,415,9
922,435,9
905,435,9
874,435,9
